name;presentation;année de création;Chiffre d’affaires;Collaborateurs;siége;Activité;website;twitter;facebook;linkedin;skills
IT-4B CONSULTING;"IT-4B CONSULTING est une Entreprise de Services du Numérique (ESN) spécialisée dans l’intégration de logiciels, de progiciels et de services IT à destination des directions informatiques.

Au cœur de notre savoir-faire nous opérons sur mesure sur les technologies et solutions de l’éditeur SAP, via une expertise technologique et un sens du service à valeur ajoutée.

La raison d’être chez IT-4B Consulting est de contribuer au progrès technologique, tout en adoptant des solutions sur mesure et des approches innovantes, afin de créer de véritables communautés collaboratives qui permettent à nos clients ainsi qu’à nos collaborateurs de progresser tous ensemble vers un service d’excellence.";;;< 20;Neuilly-sur-Seine, Île-de-France;ESN;https://it-4bconsulting.fr;https://twitter.com/it4bconsulting;;https://www.linkedin.com/company/11847040/admin/;abap, AMOA, SAP MM, SAP
CELAD;"Issu du monde bancaire, #CELAD a été créée en 1990 à Toulouse. Nos 1300 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et les systèmes embarqués et ceci chez plus de 250 clients (PME/PMI et grands comptes).

Nous sommes entièrement impliqué(e)s dans la gestion de nos collaborateurs(trices), ce qui est la base de notre développement ainsi que le reflet de la qualité de notre travail.

Doté d’un véritable processus de recrutement, notre pôle Recrutement accompagne ses candidat(e)s avec beaucoup d’enthousiasme et de passion au quotidien.

Vous recherchez une structure à taille humaine et à votre écoute ?

Donc si vous souhaitez faire partie de l’aventure Celadienne, rejoignez-nous !";1990;;> 1 000;Balma, Occitanie;ESN;https://www.celad.com/;;;https://www.linkedin.com/company/celad/mycompany/;
All Over Cloud;"AOC est une Entreprise de Service Numérique (ESN) spécialisée dans la gestion des Infrastructures, du Cloud & de la Sécurité mais pas que… Nous intervenons aussi dans le domaine des Etudes Informatiques, tout en créant un environnement, qui répond aux besoins et envies de nos collaborateurs et clients. 

Que savoir de plus ?

> Chez nous, on s’engage à mettre l’humain au cœur de l’attention grâce à 3 piliers fondamentaux :  la bienveillance, la reconnaissance et la convivialité ;
> Nous sommes une entreprise à taille humaine, qui permet une meilleure proximité et réactivité au sein de l’équipe ; 
> Notre maitre mot ? La diversité, aussi bien au niveau des collaborateurs que des projets clients ;
> Et pour que tout cela fonctionne : la transparence, qui est un indispensable pour établir une relation saine de confiance.";2021;;< 20;Wambrechies, Hauts-de-France;ESN;https://www.aoc.fr/;;;https://www.linkedin.com/company/allovercloud/;
mbh-consulting;"MBH Consulting est une entreprise de conseil en IT. Elle accompagne des sociétés dans les domaines pharmaceutiques, de la santé, de l'aéronautique, des dispositifs médicaux et des cosmétiques dans la digitalisation de leur process. 
Grace à l'expertise de ses consultants, MBH vous assure un accompagnement de qualité, adapté à votre secteur d'activité et à votre besoin.";2022;;< 20;Boulogne-Billancourt, Île-de-France;Cabinet de conseil;https://mbh.fr/;;;;Klaxoon, QHSE, Kaizen, 5s, canvas, Azure DevOps Server, amdec, OSI (Open Systems Interconnection), Programmation, Sphinx, WMS (Warehouse Management System), Power BI Desktop, SAP S/4HANA, DMAIC, Microsoft Power, RACI, Joomla, MOE, Product Information Management (PIM), Design, Automatisation, informatique, Android, Migration, Lean, Design system, Oracle Database, Coordination, ressources humaines, BPM (Business Process Management), Microsoft Excel, SIRH, Tableau Desktop, Business Intelligence, BI, SharePoint, CRM, Data Science, SI, Reporting, Test unitaire, Scala, Hardware, Oracle VM VirtualBox, MOA, ISO 9001, ERP, Conduite du changement, Microsoft Power BI, Agile Scrum, SAP BW, Recette, SAP HANA, PHP, Transformation digitale, SEO, Canva, confluence, scrum, deep learning, Audit, Formation, AMOA, change management, PL/SQL, css, adobe, JIRA, devops, Javascript, Microsoft Office, SAP, Java, BUSINESS OBJECT, Gestion de projet
IROSOFT;"iROSOFT est l’architecte des grandes transformations des entreprises et des acteurs publics. Elle accompagne ses clients de la stratégie de la mise en œuvre technologique en s’attachant toujours à penser au-delà des évidences et à s’inscrire dans des logiques de croissance verte pour créer de nouvelles façons de travailler avec de nouveaux modèles économiques et de nouveaux lieux.

iROSOFT est avant tout un projet d’entreprise à taille humaine dans lequel il fait bon travailler grâce à des valeurs qui nous animent au quotidien : collaboratif, entrepreneur, anticonformiste et esprit de famille.

iROSOFT cherche avant tout des personnalités qui lui permette de s'enrichir afin de créer un réseau de talents qui ne craint pas d’affirmer sa différence.";;;< 20;Paris, France;ESN;https://www.irosoft.fr;;;https://fr.linkedin.com/company/irosoft-fr;xcode, Load Balancing, bureautique, helpdesk, Client, Utilisateurs, MOE, magento, Scripting, commerce, Automatisation, Drupal, Software, Ajax, Electronique, informatique, iOS, Recrutement, Trello, JUnit, MAC, Stockage, Firewall, unity, Coordination, Telecom, e-commerce, Pilotage, Swift, Postman, SQLite, Bash, Marketing digital, Transformation digitale, Sass, LAN, Commercial, CoreData, Windev, Change management, Gouvernance, AngularJS, Node.js, BI, Talend, SharePoint, Vue.js, Hadoop, marketing, jquery, CRM, Recette, Support utilisateurs, Confluence, Github, TCP/IP, Installation, DNS, VPN, Azure, Shell, Eclipse, Data Science, HTML5, Reporting, Machine Learning, Bootstrap, Oracle, Big Data, asp.net, formation, PL/SQL, DevOps, Kubernetes, Terraform, Monitoring, Scala, Linux, SQL, Jenkins, C/C++, VMware, CMS, MOA, ux design, Python, React, React Native, Active Directory, SAP, JAVA, Springboot, Api Rest, GIT, Google Cloud Platform, Web, HTML, CSS, Javascript, PostgreSQL, Mongodb, MySQL, GITLAB, DOCKER, Spring, Angular, Cloud, Boot, Hibernate, .NET, Php, Planification, AMOA, Gestion de projet
ASIO BUSINESS SERVICES;"Partenaire Microsoft et spécialiste des solutions Dynamics 365 Business Central et Dynamics NAV.

Nous allions notre expertise métier aux solutions Microsoft pour proposer à nos clients des technologies adaptées à leurs enjeux d'aujourd'hui et de demain.";2021;;< 20;La Garenne-Colombes, Île-de-France;ESN;https://asioservices.com;;;https://www.linkedin.com/company/asioservices/;ERP
ABIL-IT;"ABIL-IT est une nouvelle société créée par des associés expérimentés ayant une forte connaissance de la production informatique.
Notre positionnement est totalement centré sur cette expertise que nous vous proposons de promouvoir avec l’associé fondateur en charge des relations clients. Si vous êtes assez entreprenant pour tenter de relever les défis, contactez-nous.

Nous aurons alors l’opportunité de vous parler des valeurs auxquelles nous tenons : esprit d’équipe, développement personnel et collectif, respect et confiance.";;;< 20;Neuilly-sur-Seine, Île-de-France;ESN;https://www.abil-it.fr/;;;https://fr.linkedin.com/company/abil-it;
Daweiro;"Daweiro est une société de conseil en Product Management, Agile et Lean Management et IT.
Nous nous engageons à aider les organisations, à offrir plus de valeur à nos clients et leurs parties prenantes. 
Notre objectif : donner aux entreprises les moyens de s’auto-organiser.
Cette démarche d’excellence opérationnelle fait grandir l’entreprise vers une organisation plus flexible et plus proche des attentes de sa clientèle, tout en renforçant l’implication des équipes en interne.";;;< 20;Paris, France;Cabinet de conseil;https://daweiro.com;;;https://www.linkedin.com/company/daweiro/;
AXIANS;"Rejoindre Axians, c’est rejoindre un réseau agile d’entreprises présentes dans 25 pays et composé de 12 000 collaborateurs réalisant un CA de 2.6 Milliards d’euros.

Axians est la marque de VINCI Energies dédiée aux solutions ICT, c’est-à-dire la maitrise de l’ensemble des technologies de l’information et de la communication : Infrastructures Télécoms, Cloud & Data Center, Réseaux d’entreprises, Digital Workspace, Business Applications & Data Analytics, Cyber Sécurité, Audiovisuel.

Nous accompagnons nos clients – entreprises privées, secteur public, opérateurs et fournisseurs de services - dans la transformation de leurs solutions digitales.

Vous vous reconnaissez dans cette offre et vous voulez porter avec nous nos valeurs ?!
Postulez et venez partager le CESAR !
Confiance, Esprit d'entreprendre, Solidarité, Autonomie, Responsabilité

Fortement impliqué sur nos territoires respectifs, Axians a une forte politique de développement durable en s’engageant sur une réduction de 40% de ses émissions de CO2 à l’horizon 2030 mais également d’actions solidaires touchant à l’insertion, à l’éducation au travers de la Fondation VINCI et de nombreux partenariats écoles.

Nos offres sont accessibles aux personnes en situation de handicap.
Venez exprimer vos talents, nous saurons vous accompagner ! »";;;> 1 000;La Garenne-Colombes, Île-de-France;ESN;https://www.axians.com/;;;https://www.linkedin.com/company/axians/mycompany/;
Mindcross;"Mind Cross, société à taille humaine crée en 2012 où humain et proximité sont synonymes, est constituée par des professionnels et un réseau de consultants, passionnés de nouvelles technologies, qui collaborent depuis de nombreuses années.
Nous privilégions le relationnel, l’écoute, l’évolution à tous niveaux et plaçons nos clients au cœur de notre activité.
Nous créons des expériences clients vertueuses et nous vous apportons notre expertise technique et métier, des solutions innovantes et fiables avec un service sur mesure.

Nous avons développé notre expertise et savoir-faire dans les nouvelles technologies du web (front et back office), conseil métier/AMOA et accompagnement, science de la donnée, cybersécurité ainsi que dans l’architecture logicielle.
Soucieux de la qualité des prestations que nous proposons, notre valeur ajoutée réside dans notre engagement à mettre au service de la performance des entreprises notre savoir-faire dans le but de relever les défis et d’atteindre ensemble avec nos partenaires, les objectifs fixés afin de préserver leur compétitivité.

Toute la philosophie de Mind Cross s’articule autour d’un carrefour d’échanges et de partage infini qui rassemble et connecte les talents autour de nos 4 principales valeurs : Honnêteté, rigueur, le travail en équipe, le respect des engagements pris. 
Maintenir l’ADN de Mind Cross est essentiel pour nous.";;;< 20;Paris, France;ESN;https://www.mindcross.fr;;;;
Augusta Reeves Group;"Distributeur & Intégrateur Solutions SAP / SAP Platinium Partner. Avec près de 25 ans d'expérience dans la conduite du changement numérique, nous sommes membres du réseaux United VARs.

La société est un intégrateur des solutions SAP et des nouvelles technologies. Fort d’une expertise de plus de quinze années dans le monde du Conseil SAP, AUGUSTA REEVES GROUP intervient sur des activités à la pointe de la technologie.
Notre partenariat avec SAP (Partenaire Distributeur Gold) nous permet de nous appuyer et de nous former sur les dernières solutions de l'éditeur. Ainsi, nous conseillons nos clients sur les meilleures solutions actuelles au regard de leur volonté d'évolution.

Nos projets SAP sont présent en SUISSE / PARIS.
Ainsi que sur NANTES/ BORDEAUX/ LYON et AIX.";;;100 - 249;Paris, France;ESN;https://www.augustareeves.fr/;;;https://www.linkedin.com/in/augustareeves/;
Alies Conseil;"Notre société ALIES Conseil intervient en prestation, recrutement et pré-embauche chez ses clients sur tous les domaines d’une DSI et sur tous types de profils, des débutants aux experts.
Ayant construit notre relation avec nos clients sur la confiance et la transparence, nous ne sommes pas dans une démarche « d’industrialisation » de la prestation mais souhaitons être une société à taille humaine.
Nous vous proposons d’aller visiter notre site www.alies-conseil.com afin de vous faire une idée peut être plus précise des valeurs qui guident notre activité et que nous espérons partager avec vous.";;;20 - 99;Paris, France;ESN;https://alies-conseil.com;;;;
BK SEARCH SARL;BK Search est un cabinet de recrutement spécialisé sur les compétences IT & DIGITALES. Basé à Genève, nous accompagnons nos clients, grands comptes et PME, sur des missions de recrutement en France et en Suisse;2014;;< 20;Plan-les-Ouates, Genève, Suisse;Cabinet de recrutement / placement;https://bk-search.com/;;;https://www.linkedin.com/company/bksearch/?viewAsM;AngularJS, Cybersécurité, MOE, Scrum Master, Business Analyst, JAVA/J2EE, Google Cloud Platform, MOA, Business Intelligence, Cloud, Big Data, Gestion de projets, cisco, hadoop, Informatica, Data science, AZURE, PostgreSQL, VueJS, .NET CORE, SAP, C#, Linux, Nodejs, Machine Learning, Angular, Javascript, AWS, devops, ansible, kubernetes, python, Angular.js, J2EE / Java EE, C/C++, AWS Cloud, Node.js, Vue.js
Exiptel;Fondée en 2006 par des passionnés de réseaux et de sécurité informatique, Exiptel est une entreprise de services du numérique qui s'est spécialisée sur ces technologies, au service de grands clients, qui nous font confiance sur la durée. Société à taille humaine, nous attachons une grande importance aux recrutements et entretenons une forte proximité avec nos consultants, tout au long de leurs missions et de leurs formations;2006;;< 20;Neuilly-sur-Seine, Île-de-France;ESN;https://exiptel.fr/;http://@exiptel;;https://www.linkedin.com/company/exiptel;IPsec, Pare-feu, IPv6, sd-wan, Conception, Support utilisateurs, FortiGate, VLAN, Nagios, Gestion de projet
PLATEFORM SAS;"Skillup est un logiciel de Talent Management qui accompagne les équipes RH dans leur rôle stratégique d’engagement, de développement et de rétention des talents.

L’application est composée d’une suite de modules intégrés permettant la digitalisation des processus RH :
** Module Entretien permettant la gestion de campagnes d’entretiens et mesure de la performance par les objectifs
** Module Formation offrant un accès à notre marketplace de formation professionnelle connectée à plus de 200 organismes partenaires permettant de recueillir les besoins de formation et de gérer le plan de développement des compétences
** Module Compétences permettant la cartographie des emplois et des compétences et l'identification des écarts individuels et collectifs

Commercialisée en 2018, la solution est adoptée par 80.000 salariés d’entreprises telles que Renault Sport, Clarins, Verallia, BPI France, Intersport, AON, Coface, Groupe Vyv et Lazard. (96% de taux de satisfaction client)

Notre récente levée de fonds à pour objectifs de/d' :
** Compléter la couverture fonctionnelle de notre logiciel de Talent Management
** Accélérer notre développement en France et en Europe
** Atteindre 200 collaborateurs d’ici 2024";2016;;20 - 99;Paris, France;Editeur de logiciels;https://www.skillup.co/;https://twitter.com/skillup_co;https://www.facebook.com/Skillup.co.sirh;https://www.linkedin.com/company/skillup.co/;Node.js, Reactjs, Nodejs, Javascript, React
